"state","GDPgrowth_perc","GDPcapita"
"CA",1,92190
"TX",5.6,78456
"NY",5,104344
"FL",6.9,62446
"IL",5,82126
"PA",4.4,71160
"OH",4.3,69978
"GA",5.8,69253
"NJ",4.9,80490
"NC",6.7,68243
"WA",6.7,93193
"MA",6.4,98609
"VA",4,74789
"MI",6.2,61859
"CO",5.8,82954
"TN",8.6,67473
"MD",3.2,76279
"AZ",5.3,62365
"IN",6.9,66698
"MN",5.7,78100
"WI",3.8,68192
"MO",4.6,63126
"CT",4.2,88760
"OR",5.4,70548
"SC",5.9,56066
"LA",2.4,61313
"AL",4.1,54753
"KY",4.7,57653
"UT",6.7,73424
"OK",2.2,59894
"IA",6.4,72221
"NV",7.1,67962
"KS",3.8,71729
"AR",5,54259
"NE",5.3,82207
"DC",2.8,242853
"MS",4.4,47190
"NM",2.5,57792
"ID",5.8,56496
"NH",8.5,75565
"HI",4.6,68207
"WV",4,53852
"DE",3.7,85977
"ME",5.2,61008
"ND",2.1,94021
"RI",5.5,65362
"SD",4.9,74268
"MT",6.7,57945
"AK",0.3,86722
"WY",1.1,81586
"VT",3.5,62771
